дата,смена,час,тип_данных,значение,агрегат
2026-01-01,2,10,производительность,0.0,мельница_2
2026-01-01,2,10,производительность,0.0,мельница_3
2026-01-01,2,10,производительность,27.0,мельница_4
2026-01-01,2,10,производительность,11.356,мельница_5
2026-01-01,2,10,производительность,81.65599999999999,всего
2026-01-01,2,11,плотность,69.0,мельница_1
2026-01-01,2,11,плотность,53.0,мельница_2
2026-01-01,2,11,плотность,63.0,мельница_4
2026-01-01,2,11,плотность,68.0,мельница_5
2026-01-01,2,11,слив_гидроциклон,46.0,ГЦ_1ст
2026-01-01,2,11,слив_гидроциклон,36.0,ГЦ_2ст
2026-01-01,2,11,классификатор,56.0,классификатор_1
2026-01-01,2,11,классификатор,47.0,классификатор_5
2026-01-01,2,11,ситовой_анализ,53.0,ГЦ_1ст
2026-01-01,2,11,ситовой_анализ,71.0,ГЦ_2ст
2026-01-01,2,11,производительность,41.7,мельница_1
2026-01-01,2,11,производительность,0.0,мельница_2
2026-01-01,2,11,производительность,0.0,мельница_3
2026-01-01,2,11,производительность,32.0,мельница_4
2026-01-01,2,11,производительность,12.079,мельница_5
2026-01-01,2,11,производительность,85.779,всего
2026-01-01,2,12,сгуститель,0.0,сгуститель_1
2026-01-01,2,12,сгуститель,9.0,сгуститель_2
2026-01-01,2,12,производительность,39.9,мельница_1
2026-01-01,2,12,производительность,0.0,мельница_2
2026-01-01,2,12,производительность,0.0,мельница_3
2026-01-01,2,12,производительность,31.0,мельница_4
2026-01-01,2,12,производительность,11.918,мельница_5
2026-01-01,2,12,производительность,82.81800000000001,всего
2026-01-01,2,12,выпуск_мкр,2.0,МКР
2026-01-01,2,13,производительность,41.9,мельница_1
2026-01-01,2,13,производительность,0.0,мельница_2
2026-01-01,2,13,производительность,0.0,мельница_3
2026-01-01,2,13,производительность,34.0,мельница_4
2026-01-01,2,13,производительность,12.655,мельница_5
2026-01-01,2,13,производительность,88.555,всего
2026-01-01,2,14,производительность,41.2,мельница_1
2026-01-01,2,14,производительность,0.0,мельница_2
2026-01-01,2,14,производительность,0.0,мельница_3
2026-01-01,2,14,производительность,34.0,мельница_4
2026-01-01,2,14,производительность,11.772,мельница_5
2026-01-01,2,14,производительность,86.97200000000001,всего
